pl_name,tic_id,hostname,ra,dec,disc_year,pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,sy_dist
"Kepler-130 b","TIC 121603794","Kepler-130",288.4505905,40.2452006,2014,8.45745800000,1.02000000,1.04000000,5884.00,1.127000,0.927000,316.66300000
"TOI-7166 b","TIC 288421619","TOI-7166",320.6806363,8.8893975,2025,12.92063621000,2.01000000,4.70000000,3099.00,0.222000,0.190000,35.41530000
"KIC 8540376 c","TIC 123449386","KOI-7892",282.3775397,44.6945690,2015,75.20000000000,2.40000000,6.35000000,6474.00,1.260000,1.040000,1072.30000000
"Kepler-122 f","TIC 122714267","Kepler-122",291.1118647,39.9490248,2014,56.26800000000,1.75000000,36.00000000,5917.00,0.949000,1.030000,1027.45000000
"K2-278 b","TIC 422334505","K2-278",203.3018653,-14.5041057,2018,3.33496600000,2.98000000,9.17000000,6747.00,1.610000,1.400000,786.43900000
"Kepler-1932 b","TIC 120496423","Kepler-1932",285.3314903,41.0638435,2021,0.52417701500,1.51482218,2.91000000,5278.00,0.815000,0.911000,713.73300000
"Kepler-123 b","TIC 272944990","Kepler-123",296.9985853,42.7819633,2014,17.23236600000,2.94000000,55.30000000,6089.00,1.264000,1.079000,1021.66000000
"K2-291 b","TIC 27039476","K2-291",76.4459400,21.5481990,2019,2.22517700000,1.58900000,6.49000000,5520.00,0.899000,0.934000,90.05620000
"Kepler-332 d","TIC 158272257","Kepler-332",286.6627811,47.4136938,2014,34.21154000000,1.18000000,1.76000000,4955.00,0.720000,0.743000,344.19000000
"Kepler-955 b","TIC 121603761","Kepler-955",288.4714969,40.2698157,2016,14.53244172000,3.13000000,9.96000000,5350.00,0.840000,0.890000,550.38300000
"Kepler-224 d","TIC 159642189","Kepler-224",290.9342679,47.3575414,2014,11.34939300000,2.30000000,5.90000000,5018.00,0.676000,0.777000,782.08800000
"Kepler-474 b","TIC 63210391","Kepler-474",292.3215174,43.8811723,2016,5.66067293500,3.06000000,9.59000000,5785.00,1.080000,0.990000,841.49600000
"CoRoT-1 b","TIC 36352297","CoRoT-1",102.0798591,-3.1021394,2008,1.50895570000,16.70000000,327.35000000,5950.00,1.110000,0.950000,787.90900000
"Kepler-1309 b","TIC 171098231","Kepler-1309",298.7351131,40.7641262,2016,28.84326470000,2.37000000,6.21000000,5235.00,0.800000,0.850000,845.00000000
"Kepler-57 c","TIC 270615136","Kepler-57",293.6413146,44.6570692,2012,11.60000000000,2.19600000,6.86000000,5187.90,0.826000,0.859000,644.14000000
"HD 150706 b","TIC 159511543","HD 150706",247.8255687,79.7894032,2012,5894.00000000000,13.30000000,772.32302901,5961.00,0.960000,1.170000,28.26970000
"Kepler-1038 c","TIC 268483792","Kepler-1038",298.9721472,44.1323499,2021,7.12765979800,1.41623380,2.59000000,5159.00,0.821000,0.868000,584.13600000
"HATS-41 b","TIC 53750200","HATS-41",103.5173558,-27.0504156,2018,4.19364900000,14.90797000,3082.95100000,6424.00,1.710000,1.496000,737.66800000
"WASP-142 b","TIC 423275733","WASP-142",140.5063164,-23.9461020,2016,2.05286800000,17.14977000,266.97720000,6010.00,1.640000,1.330000,730.93300000
"TOI-2071 b","TIC 198360694","TOI-2071",256.6011813,57.6610327,2026,5.67395386982,2.56484195,7.10000000,5755.41,1.002860,1.063000,231.31100000
"XO-2 N b","TIC 356473034","XO-2 N",117.0267691,50.2251472,2007,2.61585906000,11.13053700,199.91507000,5290.00,0.998000,0.960000,154.27300000
