pl_name,tic_id,hostname,ra,dec,disc_year,pl_orbper,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,sy_dist
TYC 8998-760-1 b,TIC 449888653,TYC 8998-760-1,201.3001096,-64.9391566,2020,,12.1,6928.6592726,4573.0,0.953811,1.0,94.6177
Kepler-739 b,TIC 159225155,Kepler-739,290.067994,46.5791535,2016,12.53248465,3.32,11.0,5601.0,0.9,0.93,1370.65
Kepler-415 c,TIC 138365520,Kepler-415,293.8045041,38.6390517,2014,8.708,2.01,4.7,4362.0,0.643,0.67,530.487
Kepler-893 b,TIC 164830125,Kepler-893,284.9630591,43.9130282,2016,6.33855761,3.03,9.43,5820.0,0.99,1.0,1285.59
HD 117207 b,TIC 405501056,HD 117207,202.3368806,-35.5713041,2004,2621.75,13.4,669.34662514,5732.0,1.074,1.053,32.3547
HATS-51 b,TIC 53458803,HATS-51,102.8474248,-29.0586551,2017,3.3488702,15.80469,244.09344,5758.0,1.44,1.187,389.57
GJ 15 A c,TIC 440109725,GJ 15 A,4.6126677,44.0247296,2018,7600.0,6.67,36.0,3607.0,0.38,0.38,3.56228
K2-398 b,TIC 281660552,K2-398,161.7349738,1.9367044,2022,6.393025,2.274,5.79,5946.0,1.239,0.945,606.992
HD 204313 b,TIC 99734092,HD 204313,322.0510568,-21.7274194,2010,2041.11539,12.9,1466.7780983,5767.0,1.1,1.03,47.7945
Kepler-261 b,TIC 137148674,Kepler-261,291.3647333,37.609239,2014,10.381227,2.18,5.39,5098.0,0.794,0.834,317.499
TOI-1782.02,TIC 160045097,TOI-1782,213.0787718,74.4117909,2024,1.829024227,1.839,4.04,4336.0,0.669,0.68,95.2649
WASP-119 b,TIC 388104525,WASP-119,55.9336392,-65.19378,2016,2.49979,15.6926,390.9309,5650.0,1.2,1.02,302.448
Kepler-382 c,TIC 268612521,Kepler-382,299.1362435,45.8699582,2014,12.162701,1.59,3.15,5600.0,0.945,1.002,935.446
K2-246 b,TIC 56721373,K2-246,181.6296115,-1.1606,2018,5.76918,3.49,12.0,5610.0,0.94,0.87,703.616
TOI-1453 b,TIC 198390247,TOI-1453,258.2232705,57.1977779,2025,4.3135225,1.173,2.32,4975.0,0.72,0.715,78.7415
BD+20 2457 b,TIC 95359428,BD+20 2457,154.186782,19.8912626,2009,379.63,12.1,6807.63,4137.0,49.0,2.8,1539.71
Kepler-1400 b,TIC 158212755,Kepler-1400,286.2716827,45.4408055,2016,9.06689421,1.62,3.26,5044.0,0.78,0.83,752.237
Kepler-18 b,TIC 273690178,Kepler-18,298.0794448,44.746248,2011,3.504725,2.0,6.9,5345.0,1.108,0.972,433.047
HD 103949 b,TIC 428657118,HD 103949,179.5479558,-23.9241221,2019,120.878,3.35,11.2,4792.0,0.753113,0.77,26.4997
K2-155 b,TIC 17307715,K2-155,65.469614,21.3532633,2018,6.342,1.8,3.89,4258.0,0.58,0.65,72.7998
K2-238 b,TIC 404243877,K2-238,347.7043164,-7.8575592,2018,3.20466,14.5717,273.3338,5630.0,1.59,1.19,537.963
Kepler-705 b,TIC 122066949,Kepler-705,289.5085612,41.8120234,2016,56.0560538,2.11,5.1,3722.0,0.51,0.53,276.881
TIC 434398831 b,TIC 434398831,TIC 434398831,93.9592639,16.0238459,2025,3.685504,3.51,12.1,5638.0,0.909,0.992,217.011
TOI-6255 b,TIC 261135533,TOI-6255,331.5031606,39.2988284,2024,0.23818244,1.079,1.44,3421.0,0.37,0.353,20.3167
K2-276 b,TIC 14570090,K2-276,125.9528309,22.6339399,2018,18.718269,3.77,13.7,5139.0,0.85,0.82,488.152
Kepler-1363 b,TIC 27990682,Kepler-1363,296.9964872,49.2563228,2016,2.94194094,1.25,2.1,4839.0,0.72,0.76,541.714
Kepler-725 b,TIC 164652841,Kepler-725,283.9774949,44.8115613,2016,39.64372,10.8,81.6,5395.0,0.88,0.95,758.469
HD 83443 c,TIC 32820141,HD 83443,144.2994103,-43.272721,2022,8241.0,13.6,476.7426105,5442.0,0.94,1.0,40.8991
Kepler-172 d,TIC 237157751,Kepler-172,283.3684093,41.821839,2014,14.627119,2.25,5.69,5526.0,1.085,1.081,828.592
Kepler-1204 b,TIC 159043952,Kepler-1204,289.4415238,42.4981476,2016,85.7350285,3.05,9.53,5825.0,1.03,1.03,1175.22
GJ 3090 c,TIC 262530407,GJ 3090,20.4384281,-46.7147234,2026,15.9407,3.14,10.0,3707.0,0.516,0.519,22.4751
TOI-6324 b,TIC 372207328,TOI-6324,330.844543,67.4986773,2025,0.279221,1.059,1.17,3247.0,0.293,0.269,20.5488
TOI-2134 c,TIC 75878355,TOI-2134,271.9355015,39.0729269,2023,95.5,7.27,41.89,4580.0,0.709,0.744,22.6202
TOI-5614 b,TIC 148960849,TOI-5614,189.4323154,69.4584273,2026,4.17221328949,3.21759316,10.4,4553.0,0.734919,0.674,223.016
Kepler-1903 b,TIC 417655814,Kepler-1903,290.8882981,51.2481617,2021,17.0678997,2.28642395,5.85,6347.0,0.996,1.053,1775.44
