tic_id,planet_name,host_star,ra,dec,orbital_period_days,planet_radius_earth,planet_mass_earth,stellar_teff,stellar_radius,stellar_mass,distance_pc,discovery_year,class_label,class_id,source_catalog
347713631,HD 105779 b,HD 105779,182.6612053,-16.9564908,2412.0,14.1,203.41018048,5792.0,0.94,0.89,55.2411,2022,Planet,0,NASA Exoplanet Archive
10837041,TOI-2411 b,TOI-2411,20.9224567,-8.7017944,0.7826942,1.68,3.46,4099.0,0.68,0.65,59.5362,2022,Planet,0,NASA Exoplanet Archive
357502856,omi CrB b,omi CrB,230.0350768,29.6160222,187.01,13.7,355.96781584,4769.0,11.87,1.3,84.7883,2012,Planet,0,NASA Exoplanet Archive
272484980,Kepler-246 b,Kepler-246,296.4834007,42.6633806,4.60182,2.34,6.08,5206.0,0.831,0.853,626.078,2014,Planet,0,NASA Exoplanet Archive
464646604,HIP 94235 b,HIP 94235,287.7411441,-60.2726358,7.713057,3.0,379.0,5991.0,1.08,1.094,58.5146,2022,Planet,0,NASA Exoplanet Archive
170346081,Kepler-1508 b,Kepler-1508,298.1188802,40.3750316,20.7056504,1.33,2.33,6158.0,1.22,1.14,1260.28,2016,Planet,0,NASA Exoplanet Archive
48448369,Kepler-134 b,Kepler-134,284.7391156,49.5984448,5.317429,2.0,4.66,5983.0,1.176,0.956,334.797,2014,Planet,0,NASA Exoplanet Archive
301051051,HD 20794 e,HD 20794,49.9997666,-43.0666533,147.02,2.03,4.77,5401.0,0.93,0.813,6.00278,2017,Planet,0,NASA Exoplanet Archive
273138666,Kepler-437 b,Kepler-437,297.3473326,44.0269249,66.65062,2.14,5.22,4551.0,0.68,0.707,304.0,2015,Planet,0,NASA Exoplanet Archive
270696519,Kepler-1199 b,Kepler-1199,293.7258092,47.2469219,15.0447198,1.15,1.6,5889.0,1.17,0.94,563.493,2016,Planet,0,NASA Exoplanet Archive
406948151,Kepler-1693 b,Kepler-1693,290.2015581,48.1857799,12.0999,1.28938413,2.21,5432.34,0.878295,0.95,760.065,2020,Planet,0,NASA Exoplanet Archive
382625142,HD 65216 c,HD 65216,118.4209646,-63.6466892,5370.0,13.4,645.1949,5612.0,0.88,0.874,35.1205,2013,Planet,0,NASA Exoplanet Archive
123415819,Kepler-137 c,Kepler-137,282.1355875,43.0391951,18.735753,1.88,4.19,5187.0,0.802,0.85,302.979,2014,Planet,0,NASA Exoplanet Archive
299218776,Kepler-373 c,Kepler-373,289.3879904,50.5970115,16.725948,1.24,2.07,5787.0,0.845,0.981,1090.45,2014,Planet,0,NASA Exoplanet Archive
177254988,TOI-4405 b,TOI-4405,101.5953368,-75.4441271,5.92143995316,2.55505441,7.06,4467.38,0.687025,0.68,155.501,2026,Planet,0,NASA Exoplanet Archive
121865656,Kepler-103 c,Kepler-103,288.9845512,40.0644857,179.60978,5.4539,58.47,6047.0,1.492,1.212,494.832,2014,Planet,0,NASA Exoplanet Archive
